unidade,semana_atual,capitulo_esperado,pct_conformidade_media,pct_conformidade_mediana,total_professores,professores_criticos,professores_excelentes,pct_prof_no_ritmo,total_alunos,pct_freq_acima_75,pct_freq_acima_90,frequencia_media,media_notas,alunos_tier_0,alunos_tier_1,alunos_tier_2,alunos_tier_3,pct_alunos_risco,total_aulas,pct_conteudo_preenchido,total_ocorrencias,ocorr_graves,semaforo
BV,4,2,39.5,33.3,35,10,2,5.7,586,89.9,65.1,90.2,8.1,455,57,68,6,12.6,878,100.0,2486,11,Vermelho
CD,4,2,39.1,33.3,28,6,2,10.7,622,80.8,63.2,83.6,8.2,504,52,66,0,10.6,752,100.0,1641,2,Vermelho
JG,4,2,41.3,37.5,21,6,1,4.8,456,69.2,38.2,79.6,8.4,233,109,112,2,25.0,665,99.8,767,4,Vermelho
CDR,4,2,54.6,62.5,23,3,2,30.4,357,81.2,49.9,85.5,8.3,207,60,84,6,25.2,633,99.5,1000,36,Vermelho
TOTAL,4,2,43.7,41.6,107,25,7,12.9,2021,80.3,54.1,84.7,8.3,1399,278,330,14,18.4,2928,99.8,5894,53,Vermelho
